date,avg(avg(sog)),slow_count,fast_count
2016/03/11,6.574030896372557,182,458
2014/12/18,7.125834762824324,134,400
2014/12/22,6.922499501007482,128,413
2016/06/07,6.504569886508573,200,523
2016/08/12,6.864136640537607,174,474
2015/03/08,5.113829826483953,209,168
2016/04/25,6.708255512601438,162,459
2016/05/28,6.747146040460728,190,517
2015/09/29,6.842759447115479,157,408
2014/12/25,6.8987465303025,173,382
2016/02/04,6.1372447509870875,187,335
2016/02/13,6.630730539400127,158,451
2015/09/11,7.792342293316047,147,509
2016/07/14,6.637692106964822,183,482
2014/10/16,6.903169222723232,154,410
2014/11/08,6.97924602905574,126,405
2014/12/04,7.62580026120202,127,452
2015/01/10,6.7885875841985515,120,416
2016/08/16,6.4505416733434116,203,463
2015/01/29,6.626084770478813,132,445
2015/03/02,7.080093271310599,126,421
2016/08/04,6.257772838012636,198,488
2016/07/04,6.472720950547025,179,469
2014/11/07,7.444003685200337,112,435
2014/12/19,6.918401111830002,127,424
2015/09/28,6.608600908064492,195,349
2014/12/11,6.614931772721748,128,420
2015/02/23,6.955757848221545,133,408
2016/04/08,6.803939107331498,177,461
2014/12/26,6.760582184187948,151,390
2014/12/27,7.3529532963301,133,402
2016/07/10,6.717121674462654,197,482
2014/12/16,7.4779511529892115,120,440
2015/04/11,7.532966597323001,129,474
2015/04/16,7.411414783634792,158,453
2016/02/25,6.787538792501152,160,455
2016/07/18,5.5655785644543245,262,364
2016/02/20,6.659211237941394,137,450
2015/09/20,7.491710532018629,176,481
2016/07/05,6.807114546609153,171,484
2015/02/20,7.000440928229768,136,415
2016/04/10,6.611698752090449,180,452
2014/12/06,7.618525341727124,123,416
2015/09/07,7.355564678831157,165,468
2015/09/15,6.877522308575284,163,446
2016/02/22,6.579977606060977,164,440
2016/06/05,6.825301500994742,205,503
2015/10/01,7.223371150980192,155,446
2016/06/06,6.566094526357772,219,503
2016/08/10,6.190129834048804,173,455
2015/04/10,7.181416103449476,157,402
2016/04/29,6.840589578865864,159,483
2015/01/05,6.553076405790657,153,318
2015/02/07,7.098455010893506,138,411
2016/06/30,6.719978696158338,174,506
2014/11/05,6.27538729666849,169,266
2016/03/06,6.742292701667458,160,424
2016/03/12,6.523529547442532,186,424
2016/07/08,6.8105202545980665,183,486
2015/01/20,7.378538041196173,123,434
2015/02/28,7.38423733810574,125,425
2014/11/03,7.336145192516463,118,433
2016/03/04,6.829894702980655,143,461
2014/12/29,7.013884953671862,133,416
2015/02/11,7.339775865628605,142,441
2015/02/24,6.998336176146471,130,408
2015/09/16,7.581975815742849,143,496
2016/04/07,6.424026125379084,184,472
2015/02/26,7.677205403327016,121,426
2015/02/14,7.322802717564553,126,444
2014/10/14,6.832888752572822,133,419
2015/04/19,7.451551421274055,167,460
2015/06/28,7.807844064188685,156,490
2016/03/28,6.02507658592091,177,433
2015/10/10,7.563669231780434,164,447
2016/03/07,6.74451583252279,161,434
2014/11/01,7.190452920144328,138,431
2015/07/04,7.454878818006467,162,485
2015/04/13,7.767678905521546,151,483
2014/12/15,6.551399059893942,140,395
2014/12/30,6.96434653404842,131,398
2015/05/13,5.528497307500337,221,190
2016/07/01,6.798221615046165,163,506
2015/04/25,7.005367488454714,159,472
2015/06/21,7.241585346946654,166,439
2015/06/26,7.84229438370877,143,496
2014/12/17,7.643313841649552,123,424
2015/09/19,6.948188485061334,163,468
2015/04/22,7.288000450734245,150,463
2015/10/14,7.20068940446901,158,465
2015/07/05,6.5413914583262605,222,364
2015/10/08,7.645611318174915,153,433
2015/01/31,6.979711372020818,142,407
2015/09/24,7.257386579315431,182,435
2015/04/02,6.539529333521822,178,324
2016/02/18,6.718705185435033,158,426
2014/12/21,7.241181622976221,122,425
2015/02/27,7.722629901103436,104,459
2015/10/11,7.469758238921698,166,434
