date,slow_count,fast_count,avg(avg(sog))
2017/05/24,168,557,7.310574277412649
2017/05/25,173,545,7.148931534531391
2017/05/26,171,554,7.040262930815305
2017/05/27,192,550,7.01845240242771
2017/05/28,202,523,6.8207211652308155
2017/05/29,189,530,6.662744327674967
2017/05/30,194,549,6.691345730474025
2017/05/31,195,548,6.811435344448108
2017/06/01,204,558,7.036079513858122
2017/06/02,194,580,7.036507902990207
2017/06/03,222,529,6.714944434958417
2017/06/04,223,496,6.531851824002077
2017/06/05,223,505,6.6194017140243995
2017/06/06,215,498,6.309072841202304
2017/06/07,182,544,6.614384714358308
2017/06/08,192,548,6.812719813588444
2017/06/09,195,527,6.682538741593227
2017/06/10,197,534,6.894994533110329
2017/06/11,224,505,6.444607509079279
2017/06/12,203,491,6.577846791068466
2017/06/13,202,515,6.791468126559114
2017/06/14,189,540,7.165243787607625
2017/06/15,186,563,7.1255024877419455
2017/06/16,169,560,7.331102027622615
2017/06/17,202,532,6.909867353733109
2017/06/18,219,493,6.614086188424091
2017/06/19,198,523,6.538596250101689
2017/06/20,204,514,6.632556646593843
2017/06/21,204,527,6.558102415955186
2017/06/22,216,532,6.890462625071734
2017/06/23,184,555,6.734550259820826
2017/06/24,198,541,7.052403943651453
2017/06/25,214,521,6.644290152614296
2017/06/26,210,550,6.455054877840157
2017/06/27,216,540,6.58922055543406
2017/06/28,199,540,6.604766699522693
2017/06/29,199,518,6.364188036090435
2017/06/30,198,491,6.401380702202474
2017/07/01,192,522,6.580579431055186
2017/07/02,200,498,6.473635001951325
2017/07/03,184,516,6.540465661857991
2017/07/04,185,522,6.819120365418781
2017/07/05,176,562,7.150582410822504
2017/07/06,184,536,6.847119361542471
2017/07/07,184,544,6.767001607404931
2017/07/08,202,521,6.697440005031931
2017/07/09,192,535,6.830937229265539
2017/07/10,201,540,6.542143726081285
2017/07/11,194,555,6.619931476077649
2017/07/12,219,516,6.175160543016016
2017/07/13,207,522,6.533589145503547
2017/07/14,188,528,6.542598276588167
2017/07/15,199,535,6.7048384444987095
2017/07/16,209,496,6.4160525585300805
2017/07/17,222,487,6.31580662188555
2017/07/18,187,515,6.8544393587745525
2017/07/19,193,514,6.727159357933293
2017/07/20,206,486,6.408437451010646
2017/07/21,169,516,7.134760633026831
2017/07/22,178,518,7.017533539987921
2017/07/23,189,512,6.760791243153167
2017/07/24,211,499,6.541853069143121
2017/07/25,214,523,6.389204849780572
2017/07/26,198,525,6.6617188798724545
2017/07/27,195,532,6.827583047137248
2017/07/28,205,529,6.655132581810348
2017/07/29,199,542,6.565635673800502
2017/07/30,224,506,6.354966534586019
2017/07/31,206,532,6.421931258688806
2017/08/01,222,487,6.100247078915385
2017/08/02,221,439,6.074399682067516
2017/08/03,193,533,6.597200960841148
2017/08/04,179,526,6.757575599889336
2017/08/05,197,518,6.51558564796404
2017/08/06,213,513,6.422380886489095
2017/08/07,212,518,6.58208381679951
2017/08/08,193,549,6.546103362248528
2017/08/09,195,539,6.434658408803462
2017/08/10,190,529,6.424028664949345
2017/08/11,202,541,6.507923294580477
2017/08/12,209,525,6.1995871540557035
2017/08/13,200,516,6.448722198410891
2017/08/14,207,498,6.355860307392319
2017/08/15,195,535,6.7739865810723
2017/08/16,208,519,6.644190563260501
2017/08/17,197,550,6.851860198377047
2017/08/18,195,538,6.751293153386318
2017/08/19,199,540,6.662856611321881
2017/08/20,201,529,6.549362179578903
2017/08/21,214,504,6.535797022004618
2017/08/22,190,536,6.784860772400944
