,date,avg(avg(sog)),slow_count,fast_count
126,2016/03/27,6.252259193141353,176,428
208,2016/03/28,6.0250765859209094,177,433
316,2016/03/29,5.916201180760404,198,376
294,2016/03/31,6.03277114952424,198,368
130,2016/04/01,6.69494451519461,161,481
6,2016/04/02,6.491557559731354,184,470
274,2016/04/03,6.693191710933695,172,489
297,2016/04/04,6.646263717088803,181,481
33,2016/04/05,6.75496327228416,178,491
242,2016/04/06,6.7219670795115505,180,487
202,2016/04/07,6.4240261253790845,184,472
163,2016/04/08,6.803939107331496,177,461
55,2016/04/09,6.733556544881155,175,444
176,2016/04/10,6.611698752090449,180,452
376,2016/04/11,6.600616857647936,174,463
34,2016/04/12,6.8023465584310925,182,477
64,2016/04/13,6.695456495655315,173,477
29,2016/04/14,6.552000876000477,175,478
330,2016/04/15,6.6284214416259655,187,486
260,2016/04/16,6.723629088441484,177,490
305,2016/04/17,6.320894157834902,200,438
300,2016/04/18,6.34050604847932,188,463
50,2016/04/19,6.595708720504772,193,478
127,2016/04/20,6.631933690330977,177,476
254,2016/04/21,6.81168899650902,185,479
87,2016/04/22,6.788845207958351,186,480
275,2016/04/23,6.746698995264003,182,466
237,2016/04/24,6.554132019163555,189,451
141,2016/04/25,6.708255512601437,162,459
38,2016/04/26,6.300616487434648,170,461
4,2016/04/27,6.3283499886902455,165,478
7,2016/04/28,6.805461097157071,173,474
186,2016/04/29,6.840589578865863,159,483
343,2016/04/30,6.582409701266656,181,472
279,2016/05/01,6.385270348704648,198,447
133,2016/05/02,6.507592550465032,184,472
354,2016/05/03,6.591388195108981,171,473
288,2016/05/04,6.557635394390878,165,473
272,2016/05/05,6.839076090546431,170,491
362,2016/05/06,6.2315803017405225,199,428
234,2016/05/23,5.572216253134184,246,373
280,2016/05/24,6.330316421177192,207,462
344,2016/05/25,6.8626088015641615,178,495
89,2016/05/26,6.537339747657282,174,502
325,2016/05/27,6.786535634618657,181,510
142,2016/05/28,6.747146040460727,190,517
51,2016/05/29,6.4212858058963125,213,481
377,2016/05/30,6.2461062304036465,225,495
107,2016/05/31,6.188677002003884,198,517
335,2016/06/01,6.441250373838911,199,512
67,2016/06/02,6.672543904469505,189,527
374,2016/06/03,6.807795351741687,181,524
333,2016/06/04,6.773618538957839,209,511
181,2016/06/05,6.825301500994742,205,503
183,2016/06/06,6.566094526357772,219,503
138,2016/06/07,6.504569886508572,200,523
270,2016/06/08,5.750153951881384,261,416
9,2016/06/27,5.7414243984604205,236,330
105,2016/06/28,6.936898322508233,164,487
326,2016/06/29,6.911278716878345,170,506
189,2016/06/30,6.719978696158337,174,506
217,2016/07/01,6.798221615046165,163,506
108,2016/07/02,6.777322078491495,166,504
240,2016/07/03,6.516035150117924,173,468
157,2016/07/04,6.472720950547025,179,469
174,2016/07/05,6.807114546609153,171,484
347,2016/07/06,6.672642239145239,176,496
311,2016/07/07,6.969718229404759,174,504
193,2016/07/08,6.8105202545980665,183,486
327,2016/07/09,7.034115234123044,184,510
